InputSize,ProgramSize,BSS,RoData,Text,InputType,STSclass
7370,7851,19,4492,18371,Reverse Sorted,Short burst
960,26421,667,3717,36297,Sorted,Medium burst
5490,19840,748,4880,21996,Sorted,Medium burst
5291,15401,757,1326,29753,Sorted,Medium burst
5834,11138,473,592,46174,Constant,Long burst
6365,39096,763,404,21229,Sorted,Medium burst
566,21878,826,4858,6756,Reverse Sorted,Short burst
4526,44824,592,4086,41873,Reverse Sorted,Very long burst
5678,23320,167,3489,25603,Sorted,Medium burst
8422,25560,28,633,43984,Sorted,Long burst
1785,33142,64,560,24308,Sorted,Medium burst
869,25878,965,996,38361,Sorted,Long burst
7049,8650,736,3523,32256,Sorted,Medium burst
2533,43375,977,1248,33961,Sorted,Long burst
5411,24559,730,2921,26167,Random,Medium burst
5151,35025,30,4045,27433,Constant,Long burst
6520,18693,291,3971,30731,Constant,Medium burst
1284,44467,770,4223,7401,Constant,Medium burst
4655,28301,549,4585,35505,Sorted,Long burst
3485,49563,944,3353,19445,Random,Long burst
6496,26746,426,2497,10882,Constant,Short burst
8766,13307,817,3334,49014,Reverse Sorted,Long burst
9374,18035,732,1266,7283,Constant,Short burst
2658,5992,294,1340,26970,Constant,Short burst
7949,31857,541,4271,12360,Constant,Medium burst
2147,6802,541,551,33235,Constant,Medium burst
2847,32814,520,2921,16859,Reverse Sorted,Medium burst
9267,49197,851,436,8599,Sorted,Medium burst
289,5247,405,461,11428,Reverse Sorted,Very short burst
2834,47506,129,2056,48185,Reverse Sorted,Very long burst
3105,41670,106,2197,4883,Sorted,Short burst
4758,11186,129,3918,20635,Reverse Sorted,Short burst
1999,37949,546,1388,38821,Reverse Sorted,Long burst
7834,19391,162,402,49001,Constant,Long burst
1367,36696,254,3238,13124,Constant,Medium burst
1628,30428,781,1352,20398,Sorted,Medium burst
3656,7994,525,896,29062,Constant,Medium burst
3990,37223,402,575,34896,Sorted,Long burst
8938,30377,152,2574,48484,Sorted,Very long burst
5493,28481,513,1928,40633,Random,Long burst
8892,14526,803,4155,23856,Sorted,Medium burst
8533,20922,856,3680,15407,Reverse Sorted,Medium burst
7613,9744,867,3859,19080,Sorted,Short burst
2712,33981,229,2869,9324,Random,Short burst
7141,24144,848,2957,8407,Reverse Sorted,Short burst
9655,44348,169,3127,41013,Random,Very long burst
6335,9021,85,3880,38433,Constant,Medium burst
5586,2246,620,1108,5220,Reverse Sorted,Very short burst
7199,18091,701,2539,12731,Sorted,Short burst
9770,27218,648,3698,12180,Random,Medium burst
875,3196,41,3314,23554,Sorted,Short burst
8326,12512,786,3651,13494,Constant,Short burst
3252,15188,343,2343,12485,Reverse Sorted,Short burst
1685,23957,534,724,1311,Sorted,Very short burst
4043,5536,449,1928,28005,Constant,Short burst
7655,40395,901,1061,27361,Sorted,Long burst
3173,30460,949,843,39202,Reverse Sorted,Long burst
1121,36986,361,282,16567,Constant,Medium burst
3943,22659,348,3077,16980,Constant,Short burst
8089,8410,935,3659,22938,Random,Short burst
9792,3193,409,2223,1121,Reverse Sorted,Very short burst
6973,16358,405,3434,34518,Constant,Medium burst
5775,29310,211,4656,7934,Reverse Sorted,Short burst
261,20592,971,2378,10251,Sorted,Short burst
4397,23743,539,847,31245,Reverse Sorted,Medium burst
1095,49200,918,3734,13359,Random,Medium burst
7729,31005,102,4537,13855,Reverse Sorted,Medium burst
9567,8192,801,4527,18628,Reverse Sorted,Short burst
1116,29055,367,2639,25651,Sorted,Medium burst
7969,6898,405,4751,24249,Random,Medium burst
6539,7752,837,4261,42969,Sorted,Medium burst
7992,12221,69,558,37050,Constant,Medium burst
6963,18439,486,1513,3275,Sorted,Short burst
8016,12325,735,3412,21192,Random,Medium burst
8629,25751,621,3160,1765,Random,Short burst
978,37455,10,1097,36483,Reverse Sorted,Long burst
9368,24651,564,4921,18881,Random,Medium burst
4987,536,320,4485,45906,Sorted,Medium burst
4959,28912,177,218,45692,Random,Long burst
6431,18671,201,1611,30501,Constant,Medium burst
8671,39551,43,3222,38834,Random,Very long burst
8784,33261,43,624,34257,Random,Long burst
7308,15702,697,1792,27999,Sorted,Medium burst
5376,8560,426,4620,40142,Reverse Sorted,Medium burst
2162,8565,717,4066,35703,Reverse Sorted,Medium burst
164,30373,167,2408,36517,Sorted,Long burst
8106,37148,766,4074,45256,Reverse Sorted,Very long burst
2668,6432,509,580,12883,Constant,Very short burst
5563,26970,375,1040,10295,Constant,Short burst
2127,8828,349,2170,28857,Reverse Sorted,Short burst
2795,6833,867,2491,41232,Sorted,Medium burst
9787,47138,344,2578,30867,Sorted,Long burst
5358,11768,592,2570,45905,Reverse Sorted,Long burst
5718,5567,336,4458,7286,Random,Very short burst
6836,48884,123,1511,46763,Reverse Sorted,Very long burst
491,45343,806,1001,27290,Constant,Long burst
5992,17545,928,1014,5149,Constant,Short burst
3661,41241,427,2184,39616,Random,Long burst
6284,23270,477,4504,41424,Constant,Long burst
3199,43270,152,744,3345,Sorted,Short burst
6378,8387,618,2294,22933,Random,Short burst
8492,33682,318,2853,40448,Random,Long burst
3204,32870,410,3961,9770,Random,Short burst
7315,40118,329,3074,19082,Sorted,Medium burst
2554,25418,221,1458,46555,Constant,Long burst
9096,35997,326,4643,11863,Reverse Sorted,Medium burst
2831,28526,194,3028,7984,Constant,Short burst
8254,12429,214,511,28503,Reverse Sorted,Medium burst
9862,48256,373,1667,39024,Random,Very long burst
5156,37165,225,466,40319,Reverse Sorted,Long burst
8210,35437,255,1438,2468,Constant,Short burst
3940,14063,248,4417,10132,Sorted,Short burst
1128,29046,814,4537,36086,Constant,Long burst
7485,13388,400,2644,38304,Sorted,Medium burst
602,37838,529,4870,39115,Sorted,Long burst
7010,34783,992,1796,15462,Sorted,Medium burst
9162,17458,599,3551,47349,Reverse Sorted,Long burst
7038,13134,845,2909,23323,Random,Medium burst
4588,19751,286,4028,19167,Random,Short burst
306,47066,966,4540,11067,Random,Medium burst
5234,20428,211,4807,4226,Sorted,Short burst
6077,37745,223,902,12920,Reverse Sorted,Medium burst
7821,16955,615,3340,26561,Reverse Sorted,Medium burst
7135,27644,487,1761,49040,Reverse Sorted,Very long burst
1584,28513,517,2575,36587,Constant,Long burst
7958,22376,985,3696,37738,Reverse Sorted,Long burst
963,27462,84,2080,11258,Reverse Sorted,Short burst
2890,28584,991,286,32655,Reverse Sorted,Medium burst
7508,42819,678,1106,35873,Random,Long burst
8855,21643,674,2310,19854,Sorted,Medium burst
5216,26591,963,2476,49675,Constant,Long burst
6119,14679,151,1075,21178,Random,Short burst
1857,33307,599,958,20275,Reverse Sorted,Medium burst
7674,10722,331,499,10875,Sorted,Short burst
6474,24449,703,618,45133,Sorted,Long burst
6992,16616,470,3548,36915,Sorted,Medium burst
1778,49317,716,2910,13253,Sorted,Medium burst
3342,38064,679,2376,29737,Reverse Sorted,Long burst
4736,37874,155,4359,46870,Constant,Very long burst
1159,18167,63,1358,8901,Reverse Sorted,Short burst
6768,9275,365,767,18558,Sorted,Short burst
3257,30155,286,1019,20333,Reverse Sorted,Medium burst
6015,48132,830,3395,11001,Sorted,Medium burst
9889,14693,604,2535,26012,Reverse Sorted,Medium burst
2793,15176,409,3705,30461,Constant,Medium burst
3727,31276,677,2768,32811,Sorted,Long burst
9655,43725,525,953,34002,Reverse Sorted,Long burst
5550,17699,508,1500,31410,Random,Medium burst
1763,49312,320,1505,38538,Constant,Long burst
9821,15566,280,4280,38896,Random,Long burst
5692,19395,585,581,30598,Reverse Sorted,Medium burst
7492,746,458,2317,41927,Constant,Medium burst
1406,21709,121,382,36242,Constant,Medium burst
6876,39784,248,1371,33994,Constant,Long burst
5964,17300,153,4102,31448,Reverse Sorted,Medium burst
9574,46610,383,1758,33330,Constant,Very long burst
7626,23586,29,3576,7160,Constant,Short burst
9001,20601,585,450,44570,Random,Long burst
5675,16991,298,3680,27851,Reverse Sorted,Medium burst
5630,27707,602,3087,22185,Sorted,Medium burst
4513,42298,206,4041,11007,Reverse Sorted,Medium burst
3848,21397,391,1528,6357,Reverse Sorted,Short burst
763,29992,590,1964,18794,Constant,Medium burst
2098,1921,707,1107,5764,Random,Very short burst
8094,32515,688,3043,15589,Random,Medium burst
1595,13470,726,91,11037,Reverse Sorted,Short burst
3404,7783,501,4946,35105,Sorted,Medium burst
3863,28988,173,2220,6420,Reverse Sorted,Short burst
5332,16445,615,76,17501,Sorted,Short burst
1953,755,258,3583,35581,Sorted,Medium burst
6685,11519,77,2668,10779,Reverse Sorted,Short burst
1391,15987,864,1220,12444,Constant,Short burst
3681,42297,30,3748,26118,Constant,Long burst
7654,19846,840,760,36142,Sorted,Long burst
7380,35550,521,3249,2526,Random,Short burst
1736,9244,606,2473,45527,Constant,Medium burst
3796,25256,399,2068,8087,Constant,Short burst
798,18361,545,4810,9793,Sorted,Short burst
4837,25646,120,4928,37382,Sorted,Long burst
954,43187,958,2948,3149,Sorted,Short burst
8264,46603,872,2097,20685,Constant,Long burst
5955,22476,604,1608,42347,Constant,Long burst
7492,1091,879,3644,27178,Random,Short burst
6628,6777,469,1772,15015,Random,Short burst
5349,2760,87,4102,20666,Reverse Sorted,Short burst
5272,44407,443,1701,3696,Sorted,Medium burst
1807,847,389,1828,33173,Constant,Short burst
5891,25241,661,733,13626,Random,Short burst
5635,37711,449,1329,48287,Sorted,Very long burst
5031,44356,897,2344,16314,Sorted,Medium burst
3610,42042,792,2060,45793,Reverse Sorted,Very long burst
302,7369,348,1265,35073,Sorted,Medium burst
4318,28582,997,2632,32291,Random,Long burst
9058,22580,433,1943,47207,Reverse Sorted,Long burst
4489,29479,178,363,34484,Constant,Long burst
2427,19922,718,4044,23229,Reverse Sorted,Medium burst
8104,36113,974,493,6758,Sorted,Medium burst
3031,23493,271,1721,33251,Sorted,Medium burst
7877,12886,736,2966,32833,Random,Medium burst
297,34533,588,3316,12183,Sorted,Short burst
7225,45713,238,4727,42273,Constant,Very long burst
2030,13438,170,4693,36048,Random,Medium burst
6387,11659,436,3145,16080,Sorted,Short burst
8900,2774,131,4610,10079,Constant,Short burst
9439,19354,158,1914,21726,Random,Medium burst
4382,32315,861,765,19306,Sorted,Medium burst
2611,10982,714,941,7278,Constant,Very short burst
759,19461,752,3857,37797,Constant,Medium burst
2911,20544,120,550,4063,Reverse Sorted,Short burst
7198,34336,666,2832,47081,Random,Very long burst
6646,22475,230,2690,42120,Reverse Sorted,Long burst
9661,15206,913,4552,44147,Constant,Long burst
2086,6474,73,1403,44311,Reverse Sorted,Medium burst
8438,11428,647,752,4892,Reverse Sorted,Short burst
3011,21713,739,2383,19121,Reverse Sorted,Short burst
1834,2450,805,2244,21604,Random,Short burst
1943,19977,363,2059,27484,Sorted,Medium burst
8780,10911,483,433,43330,Reverse Sorted,Long burst
3076,22195,918,2108,37163,Sorted,Medium burst
2059,46656,757,2373,36222,Random,Long burst
5859,18271,494,935,16828,Sorted,Short burst
6794,4774,22,1641,5957,Random,Very short burst
2485,35553,943,4448,19671,Sorted,Medium burst
4836,7545,162,2301,40060,Random,Medium burst
1902,30214,248,4490,32303,Constant,Medium burst
8255,34886,199,1833,9696,Random,Medium burst
8220,44247,672,4971,45727,Sorted,Very long burst
6716,9062,95,4167,13812,Reverse Sorted,Short burst
5634,28259,30,2633,10595,Constant,Short burst
4161,12526,703,1779,10959,Reverse Sorted,Short burst
362,41111,328,312,16383,Sorted,Medium burst
6387,32089,167,2681,9892,Reverse Sorted,Medium burst
8915,43163,980,3876,28780,Reverse Sorted,Long burst
9308,32238,973,2480,29721,Random,Long burst
2149,27344,490,441,20389,Sorted,Medium burst
5523,23947,888,2986,46081,Reverse Sorted,Long burst
